h,n_nodes,L2_error,H1_error
0.25,30,0.8186813711626824,0.2627679225429937
0.125,98,0.12910796867898736,0.08198342354755833
0.075,259,0.0244608656346941,0.029021218816540583
0.05,513,0.013034010150151097,0.014997693492070141
0.025,1941,0.003021376836403466,0.0038300999731205668
0.0125,7552,0.0007502815319105439,0.0010791395836931574
0.0075,21082,0.0002659800955604815,0.00042558016028175223
0.005,46678,0.00011937964610342389,0.0002262292266807801
