h,n_nodes,L2_error,H1_error
0.25,30,3.2758035983719465,0.24346143326305011
0.125,98,0.3663185085694497,0.08176288086498563
0.075,259,0.028910516280225503,0.03068630546739815
0.05,513,0.026326894364884806,0.01675675690184331
0.025,1941,0.0038678555065416237,0.0048192706113150225
0.0125,7552,0.0008281516967075018,0.0014273812407801293
0.0075,21082,0.00029277337616005305,0.0007057383540680106
0.005,46678,0.00013130879791962055,0.0003896076765422185
